site,logp1_parrotfish_biomass_kg,logp1_large_parrotfish_biomass_kg,logp1_midnightPF_biomass_kg,logp1_bluePF_biomass_kg,logp1_rainbowPF_biomass_kg,logp1_stoplightPF_biomass_kg,midnightPA,bluePA,rainbowPA,stoplightPA,Year,Month,Latitude,Longitude,Depth,Coral_cover,Reef_complexity,SST,NPP,Wave_exposure,HABITAT_CD,Coral_area_UFRTM_20km,Coral_area_UFRTM_200km,Deepwater,slips45_10km,Marine_reserve,population_20km,population_50km,rec_fishermen_50km,Artificial_reefs_1km,Gravity_total,nursery_seagrass,nursery_mangroves,connectivity,RecEng,pf_preds_biomass_kg,pf_no_midnight_biomass_kg,pf_no_blue_biomass_kg,pf_no_rainbow_biomass_kg,pf_no_stoplight_biomass_kg,turf_cover,macroalgae_cover,random
2010791_1049U,5.400542399,4.973894736,0,4.417594967,0,4.138237862,0,1,0,1,2014,October,25.6393195,-80.09055088,18.345,2.30625,0.9225,24.1886841,593.5653687,7.440230846,CONT_MR,52841,1024270,200,0,Open,337717,3147641,106900,0,1529,22582898,0,26.16842452,-0.26,0,220.5265395,138.6298633,220.5265395,158.8342879,NA,NA,3444
2012046_1045U,3.604355196,3.150384011,0,0,0,3.150384011,0,0,0,1,2014,October,25.64864532,-80.09227994,11.40122699,1.498466258,0.55,24.1800476,598.546814,7.461709499,CONT_LR,55468,1022076,400,100,Open,390883,3187518,108674,0,1529,21658354,2638.219971,26.16842452,-0.26,0,35.75797454,35.75797454,35.75797454,13.41294694,NA,NA,8189
2017392_1038U,5.182498285,4.746519013,0,0,0,4.746519013,0,0,0,1,2014,October,25.69078858,-80.09749,5.751704545,1.758522727,0.9421875,24.2200562,552.0335693,7.411608219,CONT_LR,63627,1011493,1041.421387,697,Open,662000,3420497,118261,1,1529,14489941,254830.9688,26.16842452,-0.26,6.046164579,177.1272683,177.1272683,177.1272683,62.94463169,NA,NA,2693
2021774_1062U,2.235235854,0,0,0,0,0,0,0,0,0,2014,October,25.72877774,-80.08763918,22.69184953,1.979623824,0.604075235,24.2994019,509.0507202,7.312823772,CONT_LR,70714,992791,100,774,Open,762241,3636139,123871,1,1137,7612810.5,442484.7188,23.76447219,-0.26,0,8.348686513,8.348686513,8.348686513,8.348686513,NA,NA,4476
2022262_1046U,2.614063009,0,0,0,0,0,0,0,0,0,2014,October,25.73280084,-80.08928617,14.93738318,1,0.452803738,24.2905823,504.2653198,7.310547829,CONT_LR,71208,992002,300,819,Open,762241,3636139,124793,1,9240,7715663,471734.8438,23.76447219,-0.26,116.4994549,12.65441632,12.65441632,12.65441632,12.65441632,NA,NA,441
2070511_3264U,1.155034645,0,0,0,0,0,0,0,0,0,2014,October,25.76689,-80.08727,21.6,1.5,0.775,24.2670227,458.3772888,7.363956451,APRD,76360,974387,100,920,Open,924228,3882796,128369,0,1137,4076706.5,362966.8125,23.76447219,-0.26,0,2.174133385,2.174133385,2.174133385,2.174133385,NA,NA,8381
2072456_3107U,4.216070943,0,0,0,0,0,0,0,0,0,2014,October,25.76551,-80.09878,10.1,3.5,1.05,24.2399536,460.3348083,7.358678341,LIRI,76398,982285,1341.421387,1154,Open,955616,3871777,129358,1,9240,6976430,542041.625,23.76447219,-0.26,0,66.76670127,66.76670127,66.76670127,66.76670127,NA,NA,6385
359746_3298U,0,0,0,0,0,0,0,0,0,0,2014,September,26.94375,-80.03628,20.6,5,0.3,23.7949158,484.1080017,7.524992943,DPRC,157096,386726,3641.421387,56,Open,228231,1220885,56378,0,969,0,287605.3438,NA,-0.26,3.3214923,0,0,0,0,NA,NA,2413
368306_3301U,4.460775162,0,0,0,0,0,0,0,0,0,2014,September,26.93782408,-80.01995245,21.93282002,1.762271415,0.976997113,23.8652893,446.9680481,7.534664631,DPRC,157816,387365,2200,56,Open,228059,1203637,56221,0,969,0,183272.25,NA,-0.26,105.4381434,85.55457693,85.55457693,85.55457693,85.55457693,NA,NA,4319
380770_3342U,3.719578189,3.016965927,0,0,1.547562462,2.817156536,0,0,1,1,2014,August,26.92924219,-80.02014805,20.8039039,3.48048048,0.275975976,23.8789001,440.1257935,7.530899525,DPRC,159559,389148,2300,56,Open,235410,1205818,57000,0,969,0,161042.9688,NA,-0.26,50.81686076,40.24699199,40.24699199,36.54699221,24.51777793,NA,NA,9776
386675_3303U,5.095084959,4.774164384,0,0,0,4.774164384,0,0,0,1,2014,September,26.92522778,-80.0198,20.18249381,1.978117258,3.769364162,23.8836609,434.5383606,7.522237778,DPRC,160657,390153,2300,56,Open,235410,1205818,57000,0,969,0,145784.8594,NA,-0.26,251.1677813,162.2177108,162.2177108,162.2177108,44.80638393,NA,NA,1384
390591_3343U,3.720804569,0.087897142,0,0,0,0.087897142,0,0,0,1,2014,August,26.92237,-80.0296,22.4,2,2.2,23.8446289,449.4444885,7.517327785,DPRC,161083,391105,3400,56,Open,251811,1217349,57037,0,969,0,218529.1094,NA,-0.26,0,40.29760753,40.29760753,40.29760753,40.20573173,NA,NA,9060
391248_3343H,2.658739739,0,0,0,0,0,0,0,0,0,2014,August,26.92195,-80.0293,20.9,0,0.3,23.8491455,446.8406982,7.51714325,DPRC,161281,391317,3300,56,Open,251811,1217349,57037,0,969,0,213899.2969,NA,-0.26,7.935338299,13.27828339,13.27828339,13.27828339,13.27828339,NA,NA,6121
434573_3344U,4.28787076,3.400906515,0,0,1.13684028,3.327707665,0,0,1,1,2014,August,26.89224936,-80.01515032,25.00192484,5.009624198,2.847754354,23.8987671,399.2533875,7.533401489,DPRC,163934,397602,1941.421387,0,Open,274099,1213954,58198,0,969,0,246874.5625,NA,-0.26,367.3979658,71.81127063,71.81127063,69.69436639,44.93689962,NA,NA,4072
441775_3318U,0.182364316,0,0,0,0,0,0,0,0,0,2014,September,26.88720259,-80.0222,23.70385925,1.490351873,0.174517594,23.8642517,403.2195129,7.520055294,DPRC,163923,398838,2541.421387,35,Open,297059,1229173,58605,0,969,0,306587.6875,NA,-0.26,30.75227284,0.200051312,0.200051312,0.200051312,0.200051312,NA,NA,4918
525785_3332U,0.386190367,0,0,0,0,0,0,0,0,0,2014,August,26.82939497,-80.00125006,28.09988439,0,0.10499422,24.0326477,375.6564331,7.517071247,DPRC,161111,410018,100,529,Open,400019,1276752,58757,0,491,0,534359.75,NA,-0.26,0,0.471364743,0.471364743,0.471364743,0.471364743,46,47,3318
642532_3338H,3.534152378,0,0,0,0,0,0,0,0,0,2014,August,26.74922,-80.01268,21.6,1,0.3,24.2133118,292.1881409,7.444559097,DPRC,127382,428817,800,588,Open,575225,1442163,60447,7,1879,0,174284.6563,NA,-0.26,0,33.26595783,33.26595783,33.26595783,33.26595783,NA,NA,8817
642532_3338U,2.151987135,0,0,0,0,0,0,0,0,0,2014,August,26.74922,-80.0128,21.5,2,0.4,24.2133118,292.1881409,7.444559097,DPRC,127382,428817,800,588,Open,575225,1442163,60447,7,1879,0,174284.6563,NA,-0.26,0,7.60193463,7.60193463,7.60193463,7.60193463,NA,NA,4805
644511_3340U,3.21425544,2.655024086,0,0,0,2.655024086,0,0,0,1,2014,August,26.7477905,-80.00725023,27.54931507,0,0.1,24.2120911,292.196167,7.478363991,DPRC,126230,428783,200,588,Open,556509,1432020,60447,7,1879,0,147249.9688,NA,-0.26,1746.659809,23.88475681,23.88475681,23.88475681,10.65942813,NA,NA,853
662171_3057U,2.640614285,1.88208999,0,0,0,1.88208999,0,0,0,1,2014,August,26.73568,-80.0332,2.6,0.5,0.45,24.2109619,292.3504028,7.46332407,RGSH,112189,431187,2482.842773,588,Open,650192,1491525,62038,0,1879,0,114279.3438,NA,-0.26,0,13.02181435,13.02181435,13.02181435,7.454598402,NA,NA,8457
720562_3055U,1.75147098,0,0,0,0,0,0,0,0,0,2014,August,26.69543,-80.0303,2.7,1.5,0.2,24.2139526,291.622345,7.465664864,RGSH,73552,438464,1500,371,Open,698354,1581959,63409,0,1837,0,0,NA,-0.26,13.6776837,4.763073812,4.763073812,4.763073812,4.763073812,NA,NA,1854
738298_3195H,2.981274826,0,0,0,0,0,0,0,0,0,2014,August,26.683,-80.0182,15.1,2.5,0.25,24.230127,290.7684021,7.452758789,LIRO,63181,441420,200,146,Open,685431,1597610,63670,0,1837,0,0,NA,-0.26,0,18.7129312,18.7129312,18.7129312,18.7129312,NA,NA,5428
738954_3195U,6.049100025,4.784139219,0,0,0,4.784139219,0,0,0,1,2014,August,26.6827,-80.0183,15.1,3.5,0.35,24.230127,290.7684021,7.452758789,LIRO,63181,441420,200,146,Open,685431,1597610,63670,0,1837,0,0,NA,-0.26,0,422.7315105,422.7315105,422.7315105,304.1331398,NA,NA,3012
798645_3238U,3.216673865,2.236004963,0,0,0,2.236004963,0,0,0,1,2014,August,26.64168,-80.0212,14.8,1.5,0.6,24.2046143,289.1749268,7.458690166,LIRO,36637,448074,300,209,Open,708426,1809669,67715,0,1837,0,0,NA,-0.26,0,23.94501157,23.94501157,23.94501157,15.58913213,NA,NA,1844
798646_3238H,5.174606715,4.821047285,0,0,0,4.821047285,0,0,0,1,2014,August,26.64178,-80.0207,18.1,1.5,0.25,24.2051636,289.1751099,7.458517551,LIRO,36999,447806,300,209,Open,708426,1809669,67715,0,1837,0,0,NA,-0.26,0,175.7270965,175.7270965,175.7270965,52.63211083,NA,NA,1480
803475_1399U,3.796310813,0.651898543,0,0,0,0.651898543,0,0,0,1,2014,June,24.43237101,-81.98589,23.32363919,1.742612753,0.814346812,23.6540466,481.5782471,7.119548798,CONT_MR,76286,1034684,0,0,Open,0,40544,7279,0,64,2683145,52216.9375,7.145192937,-0.26,358.6157559,43.53657727,43.53657727,43.53657727,42.61739625,NA,NA,1357
814998_1401U,3.373421647,1.68852049,0,0,0,1.68852049,0,0,0,1,2014,June,24.43694088,-81.98909945,16.59779528,2.494488189,0.547795276,23.6287476,503.7062988,7.070139885,CONT_LR,80817,1034486,0,0,Open,0,40544,7279,0,64,3182174.75,102207.5469,7.145192937,-0.26,0,28.17819392,28.17819392,28.17819392,23.76672546,NA,NA,7842
845876_3198U,0,0,0,0,0,0,0,0,0,0,2014,August,26.609,-80.0221,23.9,0,0.2,24.1991211,289.0142517,7.39293623,RGDP,26829,454883,200,366,Open,717589,1964916,71180,0,1837,0,46411.44141,NA,-0.26,0,0,0,0,0,NA,NA,2381
846532_3198H,3.094652236,0,0,0,0,0,0,0,0,0,2014,August,26.60867,-80.0221,19.8,1.5,1.1,24.1991211,289.0142517,7.39293623,RGDP,26829,454883,200,366,Open,717589,1964916,71180,0,1837,0,46411.44141,NA,-0.26,19.23535377,21.07955872,21.07955872,21.07955872,21.07955872,NA,NA,8701
847765_1459U,6.415248444,5.087941123,4.802822869,0,0,3.718485713,1,0,0,1,2014,June,24.45053922,-81.87369969,19.4465982,3.335044929,1.682991014,23.6245972,561.5739746,7.025260925,CONT_MR,85763,1054057,800,0,Closed,35696,43043,8115,1,74,12149914,59982.95313,4.618931049,-0.26,0.324770382,489.2386544,610.0925645,610.0925645,569.8906092,NA,NA,427
847768_1404U,4.094855591,3.406729422,0,0,0,3.406729422,0,0,0,1,2014,June,24.45033,-81.87049,14.6,5.5,1.2125,23.6322266,554.2920532,7.039536476,CONT_MR,86273,1054389,682.8427124,0,Open,35696,43043,8115,1,74,11797036,51317.70313,4.618931049,-0.26,39.97919009,59.03066957,59.03066957,59.03066957,29.86424846,NA,NA,6439
